,FILTRO,No,ITEM,DESCRIPCIÓN,grupo,sub_grupo,clase 2,RUBRO,SEGMENTO,MARCA,MODELO,VOLTAJE/FRECUENCIA,FASES,POTENCIA,TIPO,CAUDAL,ALTURA,DIAMETRO DE SUCCION,DIAMETRO DE DESCARGA,POTENCIA REQUERIDA DEL MOTOR,TIPO DE IMPULSOR,MATERIAL DEL IMPULSOR,MATERIAL DEL CUERPO DE BOMBA,DIAMETRO DE LA BOMBA,TIPO DE LIQUIDO,DIAMETRO,CORRIENTE DE SALIDA MINIMA (AMPERAJE),CORRIENTE DE SALIDA MAXIMA (AMPERAJE),PRESION MAXIMA,CAPACIDAD,CAPACIDAD DEL TANQUE DE COMBUSTIBLE,VELOCIDAD ,INTENSIDAD ,TIPO DE MOTOR,APLICACION O CARACTERISTICAS,ANGULO,POTENCIA DEL MOTOR,POTENCIA DE SALIDA MAXIMA,POTENCIA CONTINUA,TIPO DE ARRANQUE ,TIPO DE COMBUSTIBLE,DIAMETRO DE POZO,SUCCION MAXIMA,CON FLOTADOR,PASO DE SOLIDO,CONTRA PRESIÓN ,VISCOSIDAD DEL LIQUIDO ,CABLE ENCHAQUETADO DE: ,SECCION DE CABLE,TIPO DE CONEXION,TIPO DE CABLE,ABERTURA DE RANURA,LONGITUD ,MICRONES,ESPESOR,PROFUNDIDAD MAXIMA  DE INSTALACION ,ALTERNADOR,MODELO DEL ALTERNADOR,MARCA DEL MOTOR,MODELO DEL MOTOR,CANTIDAD DE CILINDROS,ATS,CANTIDAD DE REFLECTORES,CAPACIDAD DE CADA REFLECTOR,TEMPERATURA DE TRABAJO,ALTURA DEL MASTIL,TIPO DE ENFRIAMIENTO,FACTOR DE POTENCIA,CANTIDAD DE ARENA ,AREA DE FILTRACION,CANTIDAD DE PELDAÑOS,TIPO DE FAROL,MEDIDA SUGERIDA,DIAMETRO DE PELET,COMSUMO DE COMBUSTIBLE,CAPACIDAD QUIMICA DEL TANQUE,CAPACIDAD DE SECADO,TIPO DE SECADO,PRODUCTO A SECAR,TEMPERATURA DE SECADO,ROTACION DE SECADO,CANTIDAD DE BAJADAS,TIPO DE GRANO,CANTIDAD DE LINEAS,DISTANCIA ENTRE GOTEROS,VOLTAJE BATERIA,AMPERAJE BATERIA,TORQUE MAXIMO,POSICIONES DE TORQUE,FUSIBLE TERMICO,CAPACIDAD ELECTRODO,DIAMETRO DE ALAMBRE,CICLO DE TRABAJO CON ELECTRODO,CICLO DE TRABAJO CON ALAMBRE,ROLLO DE ALAMBRE (No incluido),CICLO DE TRABAJO TIG,CICLO DE TRABAJO (PLASMA),COMENTARIO,CORTE PERFECTO,CORTE ACEPTABLE,SEPARA HASTA,Nuevo 1,Nuevo 2,Nuevo 3,Nuevo 4,Nuevo 5,Nuevo 6,Nuevo 7,CONEXIÓN,PLATAFORMA,CILINDRADA,TIPO DE PROTECCION,TIPO DE AISLACION,DESTACADO,PESO,DIMENSIONES,GARANTIA,PROCEDENCIA,INCLUYE:,STOCK ,PRECIO,RESUMEN,,,,,,,,,,,,,,,,,,,
,1,1,IE-8250/5,SOLDADORA INVERTER  250A (MMA),HERAMIENTAS ELECTRICAS,MAQUINAS DE SOLDAR,MMA (ELECTRODO),,PROFESIONAL,GLADIATOR PRO,,220V/50-60Hz,Monofásica,6.19 kVA ,Inverter,,,,,,,,,,,,20 A,250 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,2.0 -4.0 mm,,Hasta 3.2 mm -100%/  4mm-80%,,,,,,,,,,,,,,,,,,,,Clase I,Bajo peso y pequeño volumen/ Bajo consumo de corriente,7 Kg,,6 Meses,,,,,ITEM :ie-8250/5,DESCRIPCIÓN:soldadora inverter  250a (mma),GRUPO:heramientas electricas,SUB GRUPO :maquinas de soldar,CLASE 2:mma (electrodo),SEGMENTO:profesional,MARCA:gladiator pro,VOLTAJE/FRECUENCIA:220v/50-60hz,FASES:monofásica,POTENCIA :6.19 kva ,TIPO :inverter,CORRIENTE DE SALIDA MINIMA (AMPERAJE):20 a,CORRIENTE DE SALIDA MAXIMA (AMPERAJE):250 a,FUSIBLE TERMICO:sí,CAPACIDAD ELECTRODO:2.0 -4.0 mm,CICLO DE TRABAJO CON ELECTRODO:hasta 3.2 mm -100%/  4mm-80%,TIPO DE AISLACION:clase i,DESTACADO:bajo peso y pequeño volumen/ bajo consumo de corriente,PESO:7 kg,GARANTIA:6 meses
,1,2,IM-9250/1,SOLDADORA INVERTER MIG-MAG 250A (ROLLO 15 Kg),HERAMIENTAS ELECTRICAS,MAQUINAS DE SOLDAR,MIG-MAG,,INDUSTRIAL,NEO,,220V/50-60Hz,Monofásica,8300 W,Inverter,,,,,,,,,,,,50 A,250 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,0.6 -1.0 mm,,Hasta 0.9 mm - 100%/ 1.0 mm - 80%,15 Kg,,,,,,,,,,,,,,,,,,Clase I,Con soporte para tubo de gas (No incluye tubo),46 Kg,,1 Año,,"Pinza de masa, Torcha MIG, Máscara, Cepillo/Martillo.",,,"ITEM :im-9250/1;DESCRIPCIÓN:soldadora inverter mig-mag 250a (rollo 15 kg);GRUPO:heramientas electricas;SUB GRUPO :maquinas de soldar;CLASE 2:mig-mag;SEGMENTO:industrial;MARCA:neo;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofásica;POTENCIA :8300 w;TIPO :inverter;CORRIENTE DE SALIDA MINIMA (AMPERAJE):50 a;CORRIENTE DE SALIDA MAXIMA (AMPERAJE):250 a;FUSIBLE TERMICO:sí;DIAMETRO DE ALAMBRE:0.6 -1.0 mm;CICLO DE TRABAJO CON ALAMBRE:hasta 0.9 mm - 100%/ 1.0 mm - 80%;ROLLO DE ALAMBRE (NO INCLUIDO):15 kg;TIPO DE AISLACION:clase i;DESTACADO:con soporte para tubo de gas (no incluye tubo);PESO:46 kg;GARANTIA:1 año;INCLUYE::pinza de masa, torcha mig, máscara, cepillo/martillo.",,,,,,,,,,,,,,,,,,,
,1,3,IME-10250/1,"SOLDADORA INVERTER 250A, MMA, MIG-MAG (ROLLO 5KG)",HERAMIENTAS ELECTRICAS,MAQUINAS DE SOLDAR,"MMA (ELECTRODO), MIG-MAG",,INDUSTRIAL,NEO,,220V/50-60Hz,Monofásica,11300 W,Inverter,,,,,,,,,,,,50 A,250 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,2.5 -4.0 mm,0.6 -1.0 mm,Hasta 3.2 mm -100%/  4mm - 60%,Hasta 0.8 mm - 100%/ 1.0 mm - 60%,5 Kg,,,,,,,,,,,,,,,,,,Clase I,,15 Kg,,1 Año,,"Pinza portaelectrodo, Pinza de masa, Torcha MIG, Máscara, Cepillo/Martillo.",,,"ITEM :ime-10250/1;DESCRIPCIÓN:soldadora inverter 250a, mma, mig-mag (rollo 5kg);GRUPO:heramientas electricas;SUB GRUPO :maquinas de soldar;CLASE 2:mma (electrodo), mig-mag;SEGMENTO:industrial;MARCA:neo;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofásica;POTENCIA :11300 w;TIPO :inverter;CORRIENTE DE SALIDA MINIMA (AMPERAJE):50 a;CORRIENTE DE SALIDA MAXIMA (AMPERAJE):250 a;FUSIBLE TERMICO:sí;CAPACIDAD ELECTRODO:2.5 -4.0 mm;DIAMETRO DE ALAMBRE:0.6 -1.0 mm;CICLO DE TRABAJO CON ELECTRODO:hasta 3.2 mm -100%/  4mm - 60%;CICLO DE TRABAJO CON ALAMBRE:hasta 0.8 mm - 100%/ 1.0 mm - 60%;ROLLO DE ALAMBRE (NO INCLUIDO):5 kg;TIPO DE AISLACION:clase i;PESO:15 kg;GARANTIA:1 año;INCLUYE::pinza portaelectrodo, pinza de masa, torcha mig, máscara, cepillo/martillo.",,,,,,,,,,,,,,,,,,,
,1,4,ITE-10250/2/AC-DC,SOLDADORA INVERTER MMA Y TIG 250A  AC/DC,HERAMIENTAS ELECTRICAS,MAQUINAS DE SOLDAR,"MMA (ELECTRODO), TIG",,INDUSTRIAL,NEO   ,,220V/50-60Hz,Monofásica,8600 W,Inverter,,,,,,,,,,,,5 A,250 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,2.5 -4.0 mm,,Hasta 3.2 mm -100%/  4mm - 60%,,,"hasta 4,0 - 100%/0,06mm-60% ",,,,,,,,,,,,,,,,,Clase I,Alta Frecuencia,20 Kg,,1 Año,,"Pinza portaelectrodo, Pinza de masa, Torcha TIG, Máscara, Cepillo/Martillo.",,,"ITEM :ite-10250/2/ac-dc;DESCRIPCIÓN:soldadora inverter mma y tig 250a  ac/dc;GRUPO:heramientas electricas;SUB GRUPO :maquinas de soldar;CLASE 2:mma (electrodo), tig;SEGMENTO:industrial;MARCA:neo   ;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofásica;POTENCIA :8600 w;TIPO :inverter;CORRIENTE DE SALIDA MINIMA (AMPERAJE):5 a;CORRIENTE DE SALIDA MAXIMA (AMPERAJE):250 a;FUSIBLE TERMICO:sí;CAPACIDAD ELECTRODO:2.5 -4.0 mm;CICLO DE TRABAJO CON ELECTRODO:hasta 3.2 mm -100%/  4mm - 60%;CICLO DE TRABAJO TIG:hasta 4,0 - 100%/0,06mm-60% ;TIPO DE AISLACION:clase i;DESTACADO:alta frecuencia;PESO:20 kg;GARANTIA:1 año;INCLUYE::pinza portaelectrodo, pinza de masa, torcha tig, máscara, cepillo/martillo.",,,,,,,,,,,,,,,,,,,
,1,5,IMET-8250,"SOLDADORA INVERTER MMA, TIG,MIG-MAG, 250A(IGBT)",HERAMIENTAS ELECTRICAS,MAQUINAS DE SOLDAR,"MMA (ELECTRODO), MIG-MAG, TIG",,PROFESIONAL,GLADIATOR PRO,,220V/50-60Hz,Monofásica,6.19 kVA ,Inverter,,,,,,,,,,,,50 A,250 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,2.0 -4.0 mm,0.6 -1.0 mm,Hasta 3.2 mm -100%/  4mm - 60%,Hasta 0.8 mm - 100%/ 1.0 mm - 60%,"15, 18, 20 Kg",Hasta 2.4 mm - 100%/ 3.2 mm - 60%,,,,,,,,,,,,,,,,,Clase I,,18 Kg,,6 Meses,,"Pinza portaelectrodo, Pinza de masa,Torcha MIG. Torcha TIG, Cepillo/Martillo.",,,"ITEM :imet-8250;DESCRIPCIÓN:soldadora inverter mma, tig,mig-mag, 250a(igbt);GRUPO:heramientas electricas;SUB GRUPO :maquinas de soldar;CLASE 2:mma (electrodo), mig-mag, tig;SEGMENTO:profesional;MARCA:gladiator pro;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofásica;POTENCIA :6.19 kva ;TIPO :inverter;CORRIENTE DE SALIDA MINIMA (AMPERAJE):50 a;CORRIENTE DE SALIDA MAXIMA (AMPERAJE):250 a;FUSIBLE TERMICO:sí;CAPACIDAD ELECTRODO:2.0 -4.0 mm;DIAMETRO DE ALAMBRE:0.6 -1.0 mm;CICLO DE TRABAJO CON ELECTRODO:hasta 3.2 mm -100%/  4mm - 60%;CICLO DE TRABAJO CON ALAMBRE:hasta 0.8 mm - 100%/ 1.0 mm - 60%;ROLLO DE ALAMBRE (NO INCLUIDO):15, 18, 20 kg;CICLO DE TRABAJO TIG:hasta 2.4 mm - 100%/ 3.2 mm - 60%;TIPO DE AISLACION:clase i;PESO:18 kg;GARANTIA:6 meses;INCLUYE::pinza portaelectrodo, pinza de masa,torcha mig. torcha tig, cepillo/martillo.",,,,,,,,,,,,,,,,,,,
,1,6,IPC-807,CORTADORA POR PLASMA INV. 7MM C/COMPRESOR,HERAMIENTAS ELECTRICAS,MAQUINAS DE SOLDAR,CORTE POR PLASMA,,PROFESIONAL,GLADIATOR PRO,,220V/50-60Hz,Monofásica,6.9 kVA ,Inverter,,,,,,,,,,,,20 A,40 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,60%,,7 mm,10 mm,14 mm,,,,,,,,,,,,Clase I,,20 Kg,,,,"Compresor interno, Torcha, Cable y pinza masa, regulador de aire",,,"ITEM :ipc-807;DESCRIPCIÓN:cortadora por plasma inv. 7mm c/compresor;GRUPO:heramientas electricas;SUB GRUPO :maquinas de soldar;CLASE 2:corte por plasma;SEGMENTO:profesional;MARCA:gladiator pro;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofásica;POTENCIA :6.9 kva ;TIPO :inverter;CORRIENTE DE SALIDA MINIMA (AMPERAJE):20 a;CORRIENTE DE SALIDA MAXIMA (AMPERAJE):40 a;FUSIBLE TERMICO:sí;CICLO DE TRABAJO (PLASMA):0.6;CORTE PERFECTO:7 mm;CORTE ACEPTABLE:10 mm;SEPARA HASTA:14 mm;TIPO DE AISLACION:clase i;PESO:20 kg;INCLUYE::compresor interno, torcha, cable y pinza masa, regulador de aire",,,,,,,,,,,,,,,,,,,
,1,7,IPET-1012/170,"SOLDADORA INVERTER 170A, TIG Y PLASMA 12MM",HERAMIENTAS ELECTRICAS,MAQUINAS DE SOLDAR,"MMA (ELECTRODO), CORTE POR PLASMA, TIG",,INDUSTRIAL,NEO,,220V/50-60Hz,Monofásica,5.34 kVA ,Inverter,,,,,,,,,,,,20 A,170 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,2.0 -4.0 mm,,Hasta 3.2 mm -100%/  4mm - 35%,,,,,,12 mm,15 mm,18 mm,,,,,,,,,,,,Clase I,,15 Kg,,1 Año,,,,,"ITEM :ipet-1012/170;DESCRIPCIÓN:soldadora inverter 170a, tig y plasma 12mm;GRUPO:heramientas electricas;SUB GRUPO :maquinas de soldar;CLASE 2:mma (electrodo), corte por plasma, tig;SEGMENTO:industrial;MARCA:neo;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofásica;POTENCIA :5.34 kva ;TIPO :inverter;CORRIENTE DE SALIDA MINIMA (AMPERAJE):20 a;CORRIENTE DE SALIDA MAXIMA (AMPERAJE):170 a;FUSIBLE TERMICO:sí;CAPACIDAD ELECTRODO:2.0 -4.0 mm;CICLO DE TRABAJO CON ELECTRODO:hasta 3.2 mm -100%/  4mm - 35%;CORTE PERFECTO:12 mm;CORTE ACEPTABLE:15 mm;SEPARA HASTA:18 mm;TIPO DE AISLACION:clase i;PESO:15 kg;GARANTIA:1 año",,,,,,,,,,,,,,,,,,,
,1,8,AA-615/4,"AMOLADORA ANGULAR  4 1/2"" 800W",HERAMIENTAS ELECTRICAS,AMOLADORAS,"DE 4 1/2 Y 5""",,PROFESIONAL,GLADIATOR,,220V/50-60Hz,Monofasica ,800 W,,,,,,,,,,,,,,,,115 mm,,12000 Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,"2,30kg",,6 Meses,,,,,"ITEM :aa-615/4;DESCRIPCIÓN:amoladora angular  4 1/2"" 800w;GRUPO:heramientas electricas;SUB GRUPO :amoladoras;CLASE 2:de 4 1/2 y 5"";SEGMENTO:profesional;MARCA:gladiator;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;POTENCIA :800 w;CAPACIDAD:115 mm;VELOCIDAD :12000 rpm;TIPO DE AISLACION:clase ii;PESO:2,30kg;GARANTIA:6 meses",,,,,,,,,,,,,,,,,,,
,1,9,TP-413/5,TALADRO PERCUTOR 13MM 750W ,HERAMIENTAS ELECTRICAS,TALADROS,,,HOGAR-HOBBY,GLADIATOR,,220V/50-60Hz,Monofasica ,750W,,,,,,,,,,,,,,,,13 mm,,2800Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,"1,8 Kg",,,,,,,"ITEM :tp-413/5;DESCRIPCIÓN:taladro percutor 13mm 750w ;GRUPO:heramientas electricas;SUB GRUPO :taladros;SEGMENTO:hogar-hobby;MARCA:gladiator;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;POTENCIA :750w;CAPACIDAD:13 mm;VELOCIDAD :2800rpm;TIPO DE AISLACION:clase ii;PESO:1,8 kg",,,,,,,,,,,,,,,,,,,
,1,10,SC-707/1,"SIERRA CIRCULAR 7  1/4"", 1300W",HERAMIENTAS ELECTRICAS,SIERRAS CIRCULARES,,,PROFESIONAL,GLADIATOR PRO,,220V/50-60Hz,Monofasica ,1300 W,,,,,,,,,,,,185mm - 7 1/4”,,,,65mm - 2 1/2”,,4500 Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,"4,5Kg",,,,,,,"ITEM :sc-707/1;DESCRIPCIÓN:sierra circular 7  1/4"", 1300w;GRUPO:heramientas electricas;SUB GRUPO :sierras circulares;SEGMENTO:profesional;MARCA:gladiator pro;VOLTAJE/FRECUENCIA:220v/50-60hz;FASES:monofasica ;POTENCIA :1300 w;DIAMETRO :185mm - 7 1/4”;CAPACIDAD:65mm - 2 1/2”;VELOCIDAD :4500 rpm;TIPO DE AISLACION:clase ii;PESO:4,5kg",,,,,,,,,,,,,,,,,,,
,1,11,CE-540K,COMPRESOR DE AIRE 40 LTS. 2 HP C/ACCESORIOS,HERAMIENTAS ELECTRICAS,COMPRESORES,,,SEMIPROFESIONAL,GLADIATOR,,220V/50-60Hz,Monofasica ,1450 W,,220L/min,,,,,,,,,,,,,115PSI,40L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,25 Kg,,,,,,,ITEM :ce-540k,DESCRIPCIÓN:compresor de aire 40 lts. 2 hp c/accesorios,GRUPO:heramientas electricas,SUB GRUPO :compresores,SEGMENTO:semiprofesional,MARCA:gladiator,VOLTAJE/FRECUENCIA:220v/50-60hz,FASES:monofasica ,POTENCIA :1450 w,CAUDAL  :220l/min,PRESION MAXIMA:115psi,CAPACIDAD:40l,TIPO DE AISLACION:clase ii,PESO:25 kg,,,,,,
,1,12,CE-824/4,COMPRESOR A CORREA 230 LITROS -VERTICAL,HERAMIENTAS ELECTRICAS,COMPRESORES,,,PROFESIONAL,NEO,,220V/50-60Hz,Monofasica ,3000W,,254L/min,,,,,,,,,,,,,145PSI,126kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clase II,,126kg,,,,,,,ITEM :ce-824/4,DESCRIPCIÓN:compresor a correa 230 litros -vertical,GRUPO:heramientas electricas,SUB GRUPO :compresores,SEGMENTO:profesional,MARCA:neo,VOLTAJE/FRECUENCIA:220v/50-60hz,FASES:monofasica ,POTENCIA :3000w,CAUDAL  :254l/min,PRESION MAXIMA:145psi,CAPACIDAD:126kg,CANTIDAD DE CILINDROS:2,TIPO DE AISLACION:clase ii,PESO:126kg,,,,,
